,name,region,image_url,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-24,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18
0,绿箭侠,US,https://www.countryflags.io/US/flat/64.png,242.759,243.505,238.904,235.752,251.817,255.466,236.052,230.93,233.253,201.192,187.874,209.867,227.608,202.562,206.647,193.153,179.822,161.016,176.938,187.571,197.11,171.685,200.716,180.865,173.433,180.863,182.472,168.309,145.53,139.009,152.476,152.792,168.686,164.216,171.191,173.685,166.205,171.28,181.087,223.105,312.347,437.286,510.826,320.454,,163.365,162.576,166.705,164.622,153.056,138.519,143.136,153.876,182.585,197.79,192.918,202.135,282.989,294.241,280.927,297.128,322.056,336.143,361.404,341.792,294.899,281.113,289.393,282.533,289.803,292.791,216.438,171.084,141.729,142.974,159.109,150.728,127.969,123.204,129.139,129.377,138.262,139.943,140.243,128.237,123.986,119.097,114.212,129.628,135.989,135.692,129.697,117.747,105.902,97.174,,133.784,134.154,114.058,106.243,,,,124.14,120.25,105.366,109.383,113.884,108.559,101.209,110.205,101.504,106.348,100.724,97.68,100.572,112.505,118.144,,
1,曼达洛人,US,https://www.countryflags.io/US/flat/64.png,517.821,505.374,626.935,767.083,760.158,743.423,587.912,547.5,520.462,483.439,614.027,610.361,588.564,516.851,467.255,435.129,446.927,625.698,596.205,583.455,504.818,420.2,423.386,421.495,590.093,604.915,529.522,467.548,445.187,519.82,424.302,446.711,494.012,499.546,465.565,467.558,473.247,501.941,702.717,542.545,759.563,928.855,557.313,384.104,314.716,288.55,262.97,264.827,243.049,222.576,206.099,198.473,188.374,184.154,188.766,164.204,134.365,,,,,145.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,辛普森一家,US,https://www.countryflags.io/US/flat/64.png,176.772,156.258,161.025,164.684,181.327,178.517,167.741,162.168,153.027,155.001,157.192,173.417,191.446,177.196,161.054,148.179,140.344,132.715,164.566,157.34,161.703,126.003,176.395,137.501,158.364,152.84,142.408,161.44,155.493,149.748,145.183,142.445,171.883,158.295,191.005,159.859,132.935,153.344,214.682,187.451,262.431,367.403,361.003,498.141,625.31,375.186,288.613,227.775,231.797,171.349,166.03,171.181,184.551,172.356,160.824,170.293,153.662,180.615,228.707,193.969,214.457,216.929,234.598,239.697,217.761,186.919,178.191,228.281,170.043,186.056,164.056,130.905,144.882,153.377,159.751,162.206,169.972,137.586,131.927,130.227,140.021,153.289,135.178,156.461,155.752,167.645,151.728,140.789,157.647,147.125,192.596,237.666,244.276,264.916,263.361,281.827,260.246,282.958,248.215,266.702,265.524,250.547,277.449,270.634,266.711,233.572,236.2,247.844,245.44,238.978,246.759,232.625,229.804,212.431,160.899,127.594,130.518,127.628,122.72,132.811
3,实习医生格蕾,US,https://www.countryflags.io/US/flat/64.png,135.113,,,,,,,120.894,113.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.978,105.674,,,,,,103.651,99.419,,,,,,99.12,106.434,,,,103.241,94.598,110.752,131.424,114.724,115.469,93.329,105.757,98.572,100.793,115.525,,,,120.696
4,行尸之惧,US,https://www.countryflags.io/US/flat/64.png,299.982,189.701,159.209,144.334,179.553,137.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,法律与秩序：特殊受害者,US,https://www.countryflags.io/US/flat/64.png,139.264,124.764,,,141.156,,,,111.664,,107.221,,123.685,,116.209,,,,,,,131.349,139.087,118.845,143.456,,,103.248,144.547,137.048,114.17,120.337,161.659,142.055,,134.628,,,160.035,224.049,313.669,439.137,614.792,658.504,395.102,237.061,188.538,251.409,349.187,209.512,225.899,194.206,143.9,150.153,127.839,,134.089,146.175,175.586,153.397,166.117,179.474,169.976,195.799,175.472,154.922,138.588,179.686,153.95,133.989,157.393,123.653,129.291,130.135,134.76,153.953,139.281,153.279,135.728,130.144,149.106,127.699,124.937,114.322,154.778,146.796,152.647,125.074,113.888,142.159,157.099,153.889,127.756,124.985,110.769,133.386,139.228,109.503,109.043,97.173,,,,,,127.646,105.759,128.576,121.147,102.882,111.942,94.6,,115.728,101.416,100.968,,117.01,104.006,122.205
6,瑞克和莫蒂,US,https://www.countryflags.io/US/flat/64.png,525.422,460.566,390.151,361.572,447.085,513.376,532.243,409.956,303.654,287.955,248.753,305.679,387.729,394.9,320.843,297.204,285.331,261.324,273.749,311.689,392.159,312.561,285.302,243.096,234.499,246.245,289.642,336.088,261.692,218.12,219.123,190.262,207.672,244.374,276.969,243.199,218.225,220.371,233.585,221.059,,282.454,,,194.006,169.132,173.145,194.841,189.389,166.266,160.793,151.817,149.216,161.071,183.345,168.782,157.342,188.622,225.91,185.0,196.21,214.588,189.19,189.678,172.798,168.562,155.823,191.309,179.079,158.192,154.306,150.07,155.733,150.329,148.365,173.919,161.999,132.359,126.16,145.578,144.639,150.796,161.316,152.242,131.779,123.758,133.203,116.617,140.828,168.257,163.871,149.111,124.795,113.245,114.762,123.687,134.174,120.146,116.94,111.008,100.266,,111.833,131.436,111.424,98.422,97.119,,115.355,113.006,123.302,100.545,113.081,121.91,113.583,127.032,138.899,142.878,125.774,137.457
7,邪恶力量,US,https://www.countryflags.io/US/flat/64.png,161.271,144.973,164.318,160.261,174.792,169.314,146.483,140.6,148.76,141.577,127.993,150.548,158.024,139.79,127.449,147.691,149.572,148.799,132.478,137.574,142.433,134.458,139.707,141.84,148.005,133.776,132.987,136.515,117.44,113.025,130.31,134.099,137.114,144.512,166.119,140.307,135.432,,177.522,248.531,347.943,487.12,572.137,343.282,248.055,,,,167.81,,,,,,,,,141.553,173.716,181.388,170.387,185.686,197.479,213.396,177.982,170.168,167.344,198.57,156.452,173.333,160.463,142.731,139.52,131.387,122.266,,,105.75,,,,,,115.384,,106.392,99.602,,,,121.192,130.216,104.818,,,,,,,,,,,,,,,,,,,,99.779,,,98.986,,,107.599,125.153
8,黑暗物质三部曲,GB,https://www.countryflags.io/GB/flat/64.png,237.089,213.343,184.088,151.962,181.75,203.14,191.672,176.409,159.738,145.47,124.714,155.476,175.288,176.849,171.933,173.268,168.061,138.304,145.415,183.607,181.682,182.73,160.426,150.018,,147.515,178.2,197.843,186.03,155.55,200.37,199.785,180.089,189.476,163.827,162.923,154.181,145.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,闪电侠,US,https://www.countryflags.io/US/flat/64.png,179.53,194.243,184.639,153.441,175.302,175.823,161.443,164.229,195.94,161.44,136.808,159.857,170.059,157.083,152.23,193.148,158.83,148.927,147.036,149.948,173.58,196.62,259.322,176.123,161.239,160.303,159.408,150.97,124.851,128.08,131.51,131.322,148.49,157.013,164.088,134.546,,158.756,205.437,,257.862,,,,,,,,,,,120.595,168.833,144.214,144.719,143.893,127.667,167.831,190.254,164.316,163.473,166.445,168.74,170.482,164.541,136.549,,159.56,,,128.728,,110.823,,,136.056,131.96,128.295,151.244,154.085,165.41,154.708,164.351,158.947,158.085,187.754,161.153,145.112,150.505,149.063,174.095,183.449,195.651,174.831,147.057,158.04,164.386,164.987,175.676,154.678,122.929,111.815,126.897,119.409,127.784,119.44,122.837,117.647,128.017,131.222,141.001,143.018,169.37,191.372,182.271,227.156,246.087,242.076,235.173,284.038
10,四街区,DE,https://www.countryflags.io/DE/flat/64.png,,129.148,180.807,253.13,225.46,192.709,129.723,,,151.886,212.64,188.984,161.565,124.834,,,148.386,207.74,158.818,179.711,,,,157.538,202.762,131.612,132.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,河谷镇,US,https://www.countryflags.io/US/flat/64.png,,,145.708,133.409,,,,,,127.684,,,,,,,120.281,117.2,,112.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.208,,,,,,,95.209,,,,,
12,恶搞之家,US,https://www.countryflags.io/US/flat/64.png,,,,,,134.748,129.625,119.051,,,,,,112.141,,,,,,,,,,,,,,117.819,,101.397,99.681,,,,146.265,,,,,218.894,246.331,,,,,,,185.835,,,,,,,,124.184,,,159.964,144.808,135.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.504,,,,,,,
13,行尸走肉,US,https://www.countryflags.io/US/flat/64.png,,,,,,,167.571,177.951,136.911,,,128.569,139.922,136.471,134.357,111.363,,,,,118.813,,123.353,,,,,,,,,109.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.704,,,,,,,,,,118.333,104.327,146.058,138.981,132.494,121.019,109.066,123.86,137.791,157.284,141.368,110.355,115.603,110.075,105.138,119.033,116.653,124.898,99.93,91.862,,122.841,126.443,133.216,145.585
14,南方公园,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,119.558,,,,,,110.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ダウンタウンのガキの使いやあらへんで！,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,112.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,看见,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,130.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,维京传奇,CA,https://www.countryflags.io/CA/flat/64.png,,,,,,,,,,,,,,,152.669,157.664,220.73,207.468,192.767,178.954,159.577,148.838,161.552,166.306,147.017,146.359,127.422,143.814,147.723,148.672,147.739,132.333,128.412,,157.229,128.451,138.346,178.644,250.102,296.044,414.462,580.247,492.887,317.461,216.826,163.012,,,182.05,,152.635,173.737,224.39,268.076,270.616,290.536,279.214,266.105,254.13,197.075,194.857,183.066,171.939,196.613,203.206,187.088,171.563,180.027,156.091,131.595,125.564,127.954,155.957,132.003,125.303,148.993,136.993,130.238,138.07,148.391,138.885,117.005,,112.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,罪恶黑名单,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,119.72,,,,,,,,,,110.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,超女,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,143.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.664,,,,,,,,,,,,,,,,,,,,,,,,,,,83.978,,82.334,,,,,,
20,蝙蝠女侠,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,115.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,苍穹浩瀚,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,150.132,133.742,110.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,猎魔人,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.599,181.439,254.015,355.621,351.879,363.735,341.738,326.536,367.302,279.002,,,238.415,221.327,194.988,208.17,199.839,167.036,151.717,133.476,,,148.384,119.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,星掠者,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.124,,,148.851,142.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,迷失太空,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.758,141.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,神秘博士,GB,https://www.countryflags.io/GB/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.607,187.398,262.357,367.3,514.22,565.82,375.556,413.45,295.772,278.011,366.79,268.524,171.508,178.202,168.104,167.474,142.991,133.402,124.213,,140.982,,,,156.861,167.348,,,,,,139.15,,120.868,,109.266,,,128.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.247,,,,,,,,,,,,,,,
26,海军罪案调查处,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.652,390.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,犯罪心理,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.033,,301.416,180.85,,,,171.559,116.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.864,,138.764,146.222,167.976,148.726,164.077,159.268,170.135,186.704,166.78,204.832,153.33,153.647,164.335,140.68,151.524,146.644,122.155,139.974,127.59,137.877,155.964,130.171,113.546,112.246,,,,,,,,,,,,
28,超人前传,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,摩登家庭,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,特雷弗·诺亚每日秀,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.035,,,,,,172.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,识骨寻踪,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.67,215.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,福尔摩斯：基本演绎法,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,德古拉,GB,https://www.countryflags.io/GB/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.403,179.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tatort,AT,https://www.countryflags.io/AT/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,爱情泡泡糖,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,厨神小当家,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.198,149.407,145.438,155.843,178.775,169.713,155.932,172.363,168.575,171.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,排球少年,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.31,161.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,The Flemish Bandits,BE,https://www.countryflags.io/BE/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.791,212.507,297.51,416.514,583.12,816.368,695.725,683.481,623.101,568.734,567.593,589.639,606.046,517.129,468.515,426.698,418.134,383.128,419.007,500.951,368.526,318.475,293.152,229.69,250.037,314.336,344.528,279.875,269.246,257.391,232.933,229.704,281.461,345.395,294.077,263.102,249.187,247.423,225.181,251.418,351.985,279.726,266.93,248.706,239.386,235.182,283.926,292.113,226.276,157.275,151.02,134.228,147.554,149.499,168.817,141.491,130.018,118.473,121.788,142.281,195.532,257.296,243.617,247.843
39,明日传奇,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,美第奇家族：翡冷翠名门,IT,https://www.countryflags.io/IT/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,性爱自修室,GB,https://www.countryflags.io/GB/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.638,208.093,213.983,184.953,175.19,157.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,永不满足,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.543,242.96,340.144,476.202,666.683,739.248,754.632,732.718,741.86,706.179,705.726,687.867,653.386,597.343,603.745,535.264,321.158,192.695,118.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Volle Kanne,DE,https://www.countryflags.io/DE/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.557,172.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Late Show with David Letterman,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,萨布丽娜的惊心冒险,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,狗与剪刀的正确用法,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.331,,,,,,127.597,140.316,,,,,,127.836,134.351,,103.065,,,101.817,141.539,149.997,,,,,,124.759,140.26,108.835,,111.279,99.748,107.068,130.396,141.445,113.583,,,,,134.206,139.797,,,,,,,,,
47,星际迷航：皮卡德,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.174,181.674,178.002,224.247,273.759,276.552,272.419,251.933,203.792,203.414,181.616,205.839,236.467,224.904,211.021,201.754,197.776,215.686,240.433,249.159,245.885,223.664,211.802,202.946,184.544,154.362,159.413,119.451,,,,,,108.907,,,,,,,115.65,,,,,,,,,,,
48,神烦警探,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.96,100.521,133.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,国土安全,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Diff'rent Strokes,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.971,138.396,147.959,127.894,111.614,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,星球大战：克隆人战争,SG,https://www.countryflags.io/SG/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.311,175.435,215.388,201.497,180.994,178.506,170.374,162.269,185.027,181.437,180.245,148.05,139.883,125.439,128.223,175.503,166.919,138.214,115.548,102.495,103.289,101.014,141.42,145.758,138.476,111.353,
52,风骚律师,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.503,,,,,,,,,,,,,,,,,,,,,
53,副本,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.926,147.249,114.771,112.433,,,,,,,,,,,,,,,,
54,非我所愿,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.483,,,,,,,,,,,,,,,,,
55,名校风暴,ES,https://www.countryflags.io/ES/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.824,141.154,185.711,161.978,148.655
56,龙珠,JP,https://www.countryflags.io/JP/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.806,117.692,,
57,西部世界,US,https://www.countryflags.io/US/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.258,,161.829,174.265
